run_id,seed,status,val_rmse,val_r2,train_seconds,config_id,error_msg,hidden_lstm,hidden_gru,dense1,dense2,dropout,lr,weight_decay,batch_size,grad_clip
1030,42,ok,0.020294347777962685,-0.11372673511505127,6.367647647857666,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,32,0.0,0.001,1e-06,128,1.0
1031,42,ok,0.020147033035755157,-0.09761631488800049,4.670164585113525,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,32,0.0,0.001,0.0001,64,1.0
1032,42,ok,0.020294254645705223,-0.11371636390686035,6.356093168258667,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,32,0.0,0.001,0.0001,128,1.0
1033,42,ok,0.019947994500398636,-0.07603621482849121,4.68780779838562,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,32,0.2,0.0005,1e-06,64,1.0
1034,42,ok,0.020701231434941292,-0.15883266925811768,4.50090217590332,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,32,0.2,0.0005,1e-06,128,1.0
1035,42,ok,0.019947925582528114,-0.07602882385253906,4.676084041595459,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,32,0.2,0.0005,0.0001,64,1.0
1036,42,ok,0.020701183006167412,-0.1588273048400879,4.5116589069366455,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,32,0.2,0.0005,0.0001,128,1.0
1037,42,ok,0.019472341984510422,-0.02533245086669922,5.963569164276123,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,32,0.2,0.001,1e-06,64,1.0
1038,42,ok,0.02000689134001732,-0.08239960670471191,3.759326457977295,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,32,0.2,0.001,1e-06,128,1.0
1039,42,ok,0.019472280517220497,-0.025326132774353027,5.978170156478882,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,32,0.2,0.001,0.0001,64,1.0
1040,42,ok,0.020006872713565826,-0.08239758014678955,3.7600529193878174,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,32,0.2,0.001,0.0001,128,1.0
1041,42,ok,0.019427387043833733,-0.020603656768798828,3.818875789642334,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,64,0.0,0.0005,1e-06,64,1.0
1042,42,ok,0.01944148913025856,-0.022085905075073242,4.1149797439575195,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,64,0.0,0.0005,1e-06,128,1.0
1043,42,ok,0.01942734234035015,-0.02059924602508545,3.831472158432007,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,64,0.0,0.0005,0.0001,64,1.0
1044,42,ok,0.019441451877355576,-0.022082209587097168,4.124309062957764,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,64,0.0,0.0005,0.0001,128,1.0
1045,42,ok,0.019479168578982353,-0.026051640510559082,3.8475255966186523,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,64,0.0,0.001,1e-06,64,1.0
1046,42,ok,0.019571276381611824,-0.035778045654296875,3.7515475749969482,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,64,0.0,0.001,1e-06,128,1.0
1047,42,ok,0.019479142501950264,-0.026048898696899414,3.8333399295806885,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,64,0.0,0.001,0.0001,64,1.0
1048,42,ok,0.019571242853999138,-0.03577446937561035,3.742506504058838,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,64,0.0,0.001,0.0001,128,1.0
1049,42,ok,0.01925579272210598,-0.0026543140411376953,3.83762788772583,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,64,0.2,0.0005,1e-06,64,1.0
1050,42,ok,0.01936403289437294,-0.013958096504211426,5.999623537063599,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,32,64,0.2,0.0005,1e-06,128,1.0
1051,42,ok,0.019254855811595917,-0.0025566816329956055,3.8362998962402344,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,64,0.2,0.0005,0.0001,64,1.0
1052,42,ok,0.019364025443792343,-0.013957500457763672,5.990845203399658,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,32,64,0.2,0.0005,0.0001,128,1.0
1053,42,ok,0.01926305703818798,-0.003410935401916504,3.3955817222595215,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,64,0.2,0.001,1e-06,64,1.0
1054,42,ok,0.019131286069750786,0.010269999504089355,3.76299786567688,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,32,64,0.2,0.001,1e-06,128,1.0
1055,42,ok,0.019263049587607384,-0.0034102201461791992,3.3766465187072754,"{""batch_size"": 64, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,64,0.2,0.001,0.0001,64,1.0
1056,42,ok,0.019131284207105637,0.010270237922668457,3.7551541328430176,"{""batch_size"": 128, ""dense1"": 32, ""dense2"": 64, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,32,64,0.2,0.001,0.0001,128,1.0
1057,42,ok,0.020763712003827095,-0.16583847999572754,4.649394989013672,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,16,0.0,0.0005,1e-06,64,1.0
1058,42,ok,0.021148458123207092,-0.20944416522979736,5.236432313919067,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,16,0.0,0.0005,1e-06,128,1.0
1059,42,ok,0.020756622776389122,-0.16504251956939697,4.659697771072388,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,16,0.0,0.0005,0.0001,64,1.0
1060,42,ok,0.021151749417185783,-0.20982062816619873,5.2193827629089355,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,16,0.0,0.0005,0.0001,128,1.0
1061,42,ok,0.022040242329239845,-0.3135939836502075,3.796959161758423,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,16,0.0,0.001,1e-06,64,1.0
1062,42,ok,0.02099844068288803,-0.19234657287597656,5.2294535636901855,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,16,0.0,0.001,1e-06,128,1.0
1063,42,ok,0.022040167823433876,-0.3135850429534912,3.8223965167999268,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,16,0.0,0.001,0.0001,64,1.0
1064,42,ok,0.020998364314436913,-0.1923379898071289,5.223890066146851,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,16,0.0,0.001,0.0001,128,1.0
