model,MAE,RMSE,R2,MDA
Naive,0.010954111745026527,0.016340645217930917,-0.0013970740848519014,0.45645161290322583
ARIMA,0.010946380855168978,0.01633793581194393,-0.0010650227787258881,0.5209677419354839
ARIMAX,0.011260273230342083,0.01657921501184648,-0.030850875505484154,0.5225806451612903
XGBoost,0.01197544811987241,0.01742389532156475,-0.1385665565261196,0.4967741935483871
Ridge_PCA,0.011674973224949354,0.016944524950884214,-0.07677933385258373,0.4935483870967742
XGBoost_PCA,0.01107517754457305,0.016321468990416824,0.0009518846270607506,0.5290322580645161
XGBoost_PCA_Tuned,0.01107517754457305,0.016321468990416824,0.0009518846270607506,0.5290322580645161
